Date,Product,Quantity,Price,Category,Sale_ID
2023-01-01,Laptop,1,1000,Electronics,1001
2023-01-01,T-Shirt,2,20,Clothing,1002
2023-01-02,Washing Machine,1,500,Home,1003
2023-01-02,Headphones,3,50,Electronics,1004
2023-01-03,Pants,1,30,Clothing,1005
2023-01-03,Television,1,800,Electronics,1006
2023-01-04,Coffee Maker,2,100,Home,1007
2023-01-05,Mouse,4,25,Electronics,1008
2023-01-05,Sofa,1,700,Home,1009
2023-01-06,Shoes,2,60,Clothing,1010
2024-01-01,Laptop,2,1000,Electronics,2001
2024-01-02,Television,1,750,Electronics,2002
2024-01-03,Shirt,5,25,Clothing,2003
2024-01-04,Refrigerator,1,1200,Home,2004
2024-01-04,Keyboard,3,40,Electronics,2005
2024-01-05,Desk,1,300,Home,2006
2024-01-06,Sweater,2,50,Clothing,2007
2024-02-01,Phone,1,900,Electronics,2008
2024-02-02,Dishwasher,1,600,Home,2009
2024-02-03,Bag,3,80,Clothing,2010
2024-02-04,Charger,5,15,Electronics,2011
2024-02-05,Chair,4,150,Home,2012
2024-02-06,Watch,1,400,Clothing,2013
2025-01-01,Laptop,3,950,Electronics,3001
2025-01-02,Shoes,4,70,Clothing,3002
2025-01-03,Vacuum Cleaner,2,350,Home,3003
2025-01-03,Tablet,1,600,Electronics,3004
2025-01-04,Sweater,3,55,Clothing,3005
2025-01-05,Desk Lamp,5,30,Home,3006
2025-01-06,Monitor,2,300,Electronics,3007
2025-01-07,Jacket,1,200,Clothing,3008
2025-01-08,Speaker,3,150,Electronics,3009
2025-01-09,Bed,1,1200,Home,3010
